Job Title,Top Skills
Software Engineer,"automation and scripting (e.g., python, bash) continuous integration/continuous deployment (ci/cd) containerization (e.g., docker, kubernetes) infrastructure as code (e.g., terraform, ansible) cloud platforms (e.g., aws, azure, gcp) monitoring and troubleshooting skills"
Account Director,"business development sales strategy market analysis client acquisition team leadership strategic planning presentation skills, market expansion strategies market research sales planning and execution"
Account Director,"account management client relations marketing strategies campaign optimization data analysis communication skills, brand management public relations brand storytelling influencer marketing media monitoring, copywriting content creation seo marketing strategies creativity, marketing communication public relations content strategy crisis management media relations, social media management content creation audience engagement marketing strategy communication skills"
Sales Consultant,"b2b sales business-to-business sales strategies lead generation sales negotiations client relationship building market research, sales strategies customer relationship management sales techniques product knowledge client acquisition negotiation skills, sales training sales coaching training program development sales techniques product knowledge presentation skills"
Chemical Analyst,"quality control quality assurance qc testing methods compliance standards root cause analysis documentation statistical analysis, quality assurance quality control process improvement audit procedures compliance standards root cause analysis"
Marketing Coordinator,"digital marketing strategy development social media advertising email marketing google analytics and seo content management systems (cms) proficiency, digital marketing strategy social media marketing content creation seo (search engine optimization) ppc advertising analytics and reporting"
Account Executive,advertising and marketing knowledge client relationship management advertising campaign development budget management media planning and buying
Technical Writer,"instructional design elearning tools curriculum development multimedia design learning theory knowledge, e-commerce web design ux/ui design shopping cart integration payment gateway integration mobile responsiveness e-commerce platforms (e.g., shopify)"
SEO Analyst,"technical seo website audits seo tools (e.g., screaming frog, ahrefs) schema markup site speed optimization xml sitemaps canonicalization"
Graphic Designer,"user interface (ui) design user experience (ux) design wireframing and prototyping tools (e.g., sketch, figma) usability testing information architecture interaction design mobile and responsive design"
Front-End Developer,"web design concepts graphic design software (e.g., adobe creative suite) html and css responsive design user interface (ui) principles visual communication typography color theory creativity attention to detail collaboration"
Marketing Specialist,"marketing analytics data analysis data visualization market research google analytics marketing automation reporting tools, search engine marketing ppc advertising seo strategy data analysis digital marketing skills"
Event Coordinator,corporate event planning corporate branding and messaging speaker and entertainment booking audiovisual production team coordination crisis management budgeting and financial management client communication creativity problem-solving attention to detail
Procurement Manager,strategic sourcing strategies supplier evaluation and selection negotiation skills vendor management cost analysis supply chain management contract management problem-solving attention to detail communication skills strategic thinking
Landscape Architect,"landscape design plant selection and care hardscape design, autocad, architectural design software (e.g., revit) building codes and regulations 3d modeling visualization sustainable design, pcb design electronics pcb layout software proficiency circuit design quality control, graphic design typography user interface (ui) design adobe creative suite proficiency branding and visual identity creation, environmental design principles sustainability concepts cad and design software"
Legal Counsel,corporate law and regulations contract drafting and negotiation legal research and analysis risk management excellent communication and negotiation skills
Chemical Analyst,"research chemistry experimental design data interpretation chemical synthesis research protocols scientific writing problem-solving skills, sql (structured query language) database design query optimization data modeling database maintenance problem-solving skills"
Teacher,"special education strategies individualized education plans (ieps) behavior management techniques collaboration with support staff special education laws and regulations knowledge, dental public health principles community outreach and education dental health program planning epidemiology knowledge public health regulations knowledge"
